uf,nome,sim,sim%,nao,nao%,total,latitude,longitude
PA,Santana do Araguaia (PA),15695.0,0.9450833985668694,912.0,0.05491660143313061,16607.0,-9.3281,-50.35
PA,Santarém (PA),86036.0,0.9858938659516198,1231.0,0.014106134048380257,87267.0,-2.4384900000000003,-54.6996
PA,Santarém Novo (PA),1657.0,0.9430848036425725,100.0,0.056915196357427436,1757.0,-0.93097,-47.3855
PA,Santo Antônio do Tauá (PA),7513.0,0.962218237704918,295.0,0.03778176229508197,7808.0,-1.1522,-48.1314
PA,São Caetano de Odivelas (PA),4675.0,0.9554465563049254,218.0,0.04455344369507459,4893.0,-0.747293,-48.0246
PA,São Domingos do Araguaia (PA),6263.0,0.9579382074028755,275.0,0.0420617925971245,6538.0,-5.5373199999999985,-48.7366
PA,São Domingos do Capim (PA),7762.0,0.929135743356476,592.0,0.07086425664352405,8354.0,-1.6876799999999998,-47.7665
PA,São Félix do Xingu (PA),26876.0,0.9507570397622753,1392.0,0.049242960237724634,28268.0,-6.64254,-51.9904
PA,São Francisco do Pará (PA),4161.0,0.9574321214910262,185.0,0.04256787850897377,4346.0,-1.16963,-47.7917
PA,São Geraldo do Araguaia (PA),6835.0,0.9348926275475311,476.0,0.06510737245246888,7311.0,-6.39471,-48.5592
PA,São João da Ponta (PA),1416.0,0.9698630136986301,44.0,0.030136986301369864,1460.0,-0.857885,-47.918
PA,São João de Pirabas (PA),5510.0,0.9246517872126195,449.0,0.07534821278738044,5959.0,-0.780222,-47.181
PA,São João do Araguaia (PA),3310.0,0.9118457300275482,320.0,0.0881542699724518,3630.0,-5.36334,-48.7926
PA,São Miguel do Guamá (PA),14468.0,0.9474787164374591,802.0,0.05252128356254093,15270.0,-1.61307,-47.4784
PA,São Sebastião da Boa Vista (PA),6552.0,0.9242488362251375,537.0,0.07575116377486246,7089.0,-1.71597,-49.5249
PA,Sapucaia (PA),1347.0,0.9251373626373627,109.0,0.07486263736263736,1456.0,-6.940180000000002,-49.6834
PA,Senador José Porfírio (PA),3249.0,0.915469146238377,300.0,0.08453085376162299,3549.0,-4.31242,-51.5764
PA,Soure (PA),6489.0,0.9674966452959595,218.0,0.03250335470404055,6707.0,-0.73032,-48.5015
PA,Tailândia (PA),24704.0,0.9431527507349292,1489.0,0.05684724926507082,26193.0,-2.94584,-48.9489
PA,Terra Alta (PA),2827.0,0.9658353262726341,100.0,0.0341646737273659,2927.0,-1.0296299999999998,-47.9004
PA,Terra Santa (PA),4817.0,0.9874948749487494,61.0,0.012505125051250513,4878.0,-2.10443,-56.4877
PA,Tomé-Açu (PA),15969.0,0.9468722205751556,896.0,0.053127779424844354,16865.0,-2.41302,-48.1415
PA,Tracuateua (PA),7278.0,0.905223880597015,762.0,0.09477611940298507,8040.0,-1.07653,-46.9031
PA,Trairão (PA),4777.0,0.9163629388068291,436.0,0.08363706119317092,5213.0,-4.57347,-55.9429
PA,Tucumã (PA),9856.0,0.9549462261408779,465.0,0.04505377385912218,10321.0,-6.74687,-51.1626
PA,Tucuruí (PA),29498.0,0.9694997699336094,928.0,0.030500230066390587,30426.0,-3.7657,-49.6773
PA,Ulianópolis (PA),12656.0,0.9579895541594126,555.0,0.04201044584058739,13211.0,-3.75007,-47.4892
PA,Uruará (PA),13113.0,0.9688931579725136,421.0,0.031106842027486332,13534.0,-3.71519,-53.7396
